number,construction,installation,short,description
1,Здание входных ниток и пробкоуловителей, , ,УКПГ-2. Здание входных ниток и пробкоуловителей (поз. по ГП 1)
2,Емкости аварийная и дренажная ВМР и конденсата, , ,УКПГ-2. Емкости аварийная и дренажная ВМР и конденсата (поз. по ГП 2)
4,Емкости аварийная и дренажная ВМР и конденсата,Установка НТС, УНТС. ,УКПГ-2. УНТС. Емкости аварийная и дренажная ВМР и конденсата (поз. по ГП 4)
5,Здание цеха подготовки газа,Установка НТС, УНТС. ,УКПГ-2. УНТС. Здание цеха подготовки газа (поз. по ГП 5)
7,Теплообменники газа,Установка НТС, УНТС. ,УКПГ-2. УНТС. Теплообменники газа (поз. по ГП 7)
9,Блок-бокс подготовки газа на собственные нужды,Установка НТС, УНТС. ,УКПГ-2. УНТС. Блок-бокс подготовки газа на собственные нужды (поз. по ГП 9)
11,Блок-бокс пункта измерения расхода газа, , ,УКПГ-2. Блок-бокс пункта измерения расхода газа (поз. по ГП 11)
12,Установка свечи с гидрозатвором,Резервуарный парк, РП. ,УКПГ-2. РП. Установка свечи с гидрозатвором (поз. по ГП 12)
13,Емкость дренажная стабильного конденсата V=40 м3,Резервуарный парк, РП. ,УКПГ-2. РП. Емкость дренажная стабильного конденсата V=40 м3 (поз. по ГП 13)
15,Манифольдная резервуарного парка стабильного конденсата,Резервуарный парк, РП. ,УКПГ-2. РП. Манифольдная резервуарного парка стабильного конденсата (поз. по ГП 15)
16,Резервуарный парк стабильного конденсата V=4x5000 м3,Резервуарный парк, РП. ,УКПГ-2. РП. Резервуарный парк стабильного конденсата V=4x5000 м3 (поз. по ГП 16)
17,Стояки верхнего налива автоцистерн метанола (2 стояка) и конденсата (1 стояк),Резервуарный парк, РП. ,УКПГ-2. РП. Стояки верхнего налива автоцистерн метанола (2 стояка) и конденсата (1 стояк) (поз. по ГП 17)
18,Емкости премно-дренажная метанола и дренажная конденсата,Резервуарный парк, РП. ,УКПГ-2. РП. Емкости премно-дренажная метанола и дренажная конденсата (поз. по ГП 18)
19,Арматурные узлы метанола,Резервуарный парк, РП. ,УКПГ-2. РП. Арматурные узлы метанола (поз. по ГП 19)
20,Резервуарный парк метанола V=3x1000 м3,Резервуарный парк, РП. ,УКПГ-2. РП. Резервуарный парк метанола V=3x1000 м3 (поз. по ГП 20)
21,Манифольдная резервуарного парка метанола,Резервуарный парк, РП. ,УКПГ-2. РП. Манифольдная резервуарного парка метанола (поз. по ГП 21)
22,Здание насосной конденсата и метанола,Резервуарный парк, РП. ,УКПГ-2. РП. Здание насосной конденсата и метанола (поз. по ГП 22)
24,Установка свечи с гидрозатвором, , ,УКПГ-2. Установка свечи с гидрозатвором (поз. по ГП 24)
25,Здание регенерации метанола,Установка регенерации метанола, УРМ. ,УКПГ-2. УРМ. Здание регенерации метанола (поз. по ГП 25)
26,Емкости аварийная и дренажные, Установка регенерации метанола. , УРМ. ,УКПГ-2. УРМ. Емкости аварийная и дренажные (поз. по ГП 26)
27,АВО метанола, Установка регенерации метанола. , УРМ. ,УКПГ-2. УРМ. АВО метанола (поз. по ГП 27)
