number,serial_number,defective_act,poz_GP,tag,type,name_of_equipment,equipment_acceptance_date_PNR,equipment_manufacturer,project,date_of_detection,installation_location,description,reasons_for_failure,elimination_of_defects,operating_time,executor_3,executor_1,executor_2,person_approving,approval_date,number_letter_INVEST,letter_to_INVEST,location,notes,fio_locksmith_1,fio_locksmith_2,elimination_date,fio_responsible,mark_of_elimination,,,,,,,
89,№ 21253,КАИТ-КГС-205-2,КГС 205,КШ 2.1,Электропривод,"Модуль автоматизированной технологической обвязки скважин МОС-2/1, Привод РЭМТЭК П.250.4.60.8100.V.15.3 № 21253",,"АО Акционерная компания «Корвет», Россия, г. Курган",0092.020.014.Р5.0004.038.0205.0000.000-ТХ.СО1(изм. 1),1/17/2024,КГС 205 скважина № 5,"Попадание метанола в редуктор и в блок управления, в следствии негерметичности клапана",Заводской брак,Требуется ремонт оборудования, 1752 ч,Шулаков А.Ю.,Бояркин И.С.,Гайнуллин А.Ф.,Никонов Ю.А.,1/17/2024,2024-01-29 исх. 08/746,1/29/2024,Контейнер,"30.01.2024 - Залит метанолом В складе 315
03.04.2024 - Контейнер (с редуктором)",,,,,
90,№ 212084,КАИТ-КГС-205-3,КГС 205,,Электропривод,"Модуль автоматизированной технологической обвязки скважин МОС-2/2, Привод РЭМТЭК Л.7000.7.60.345.8100 V.16.3 № 212084",-,"АО Акционерная компания «Корвет», Россия, г. Курган",0092.020.014.Р5.0004.038.0205.0000.000-ТХ.СО1(изм. 1),1/17/2024,КГС 205 скважина № 2," Попадание метанола в редуктор и в блок управления, в следствии негерметичности клапана",Заводской брак,Требуется ремонт оборудования, 1753 ч,Шулаков А.Ю.,Бояркин И.С.,Гайнуллин А.Ф.,Никонов Ю.А.,1/17/2024,2024-01-29 исх. 08/746,1/29/2024,Контейнер,"30.01.2024 - Залит метанолом. Блок управления исправен (нет редуктора). Ремонт Четвериков
АКТ № КАИТ-КГС-205-3(РЭМТЭК) Акт не актуален.
03.04.2024 - Контейнер
",,,,,
5,"№ 244
(№ 21051175)",КАИТ-КГС-206-1,КГС 206,,Электропривод,"Модуль автоматизированной технологической обвязки скважин МОС 3/2 2-14-01 КМЕВ 611448.001 ТУ (Электропривод ЭПУ-05 КРАУ-6.330.013ТУ Зав. №21051175, в составе АрБ 41 АК «Корвет»)",-,"АО ""Акционерная компания ""Корвет""","0092.020.014.Р5.0004.038.0206.0000.000-ТХ л.СО1, л2, п.5",6/8/2023,"Куст газовых скважин №206 скважина №2065,  МОС 3/2 АрБ 41 ",При подаче команды не работает электропривод ЭПУ-05,Дефектное оборудование,Произвести замену/ремонт дефектного оборудования,120 ч,Шулаков А.Ю.,Лупандин Д.А.,Цой О.С.,Кутузов А.Н.,6/11/2023,№ 02/92-5246 от 03.07.2023,7/2/2023,На месте установки,"Устранено силами ГДИ;
Установили на СПИ 5.1",,,,,
91,№ 21247,КАИТ-КГС-206-14,КГС 206,,Электропривод,"Модуль автоматизированной технологической обвязки скважин МОС-2/1, Привод РЭМТЭК П.250.4.60.8100.V.15.3 № 21247",-,"АО Акционерная компания «Корвет», Россия, г. Курган",0092.020.014.Р5.0004.038.0206.0000.000-ТХ.СО1(изм. 1),1/13/2024,КГС 206 скважина № 4,"Попадание метанола в редуктор и в блок управления, в следствии негерметичности клапана",Заводской брак,Требуется ремонт оборудования,1752 ч,Шулаков А.Ю.,Крашенинников Д.Н.,Гайнуллин А.Ф.,Никонов Ю.А.,1/12/2024,2024-01-29 исх. 08/746,1/29/2024,Контейнер,"30.01.2024 - метанол
Снят находится в мастерской
03.04.2024 - Контейнер (с редуктором)",,,,,
64,№ 21249,КАИТ-КГС-207-14,КГС 207,КШ8,Электропривод,"Модуль автоматизированной технологической обвязки скважин МОС-1, Привод РЭМТЭК П.250.4.60.8100.V.15.3 № 21249",-,АО Акционерная компания «Корвет»,0092.020.014.Р5.0004.038.0207.0000.000-ТХ.СО1(изм. 2),12/5/2023,"Куст газовых скважин №207, скважина №3, КШ8 ","Не управляется привод. Ошибки DF6, DF23",Заводской брак,Требуется ремонт дефектного оборудования,1210 ч,Алимбеков Ф.А.,Крашенинников Д.Н.,Цой О.С.,Никонов Ю.А.,12/6/2023, 12.12.2023 исх.08-82-10048,12/12/2023,,30.01.2024 - Залит метанолом. АКТ № КАИТ-КГС-207-14(РЭМТЭК),,,,,
328,№ 000753,КАИТ-УКПГ-2-100-14,100,-,Извещатель пламени,"Агрегат газоперекачивающий ГПА-16А-НК/ГТ.СМ, ГПА№ 23. Извещатель пожарный пламени взрывозащищенный СПАРК ИП 330/1-20А1-1",10/16/2023,"АО ""СПЕЦПОЖИНЖИНИРИНГ""",359/041-2828/КОВ-АПТ 0092.020.014.Р5.0004.149.0002.1029.100-ТХГП.СО1,3/7/2024,УКПГ-2. ЦДКС. Установка компрессорных агрегатов (поз. по ГП100) ГПА 23,Механическое повреждение корпуса. Нарушена взрывозащита извещателя пожарного пламени,Дефектное оборудование,Произвести замену дефектного оборудования,3000,Шулаков А.Ю.,Фомичев Д.М.,Ямилов Р.Р.,Кутузов А.Н.,,,,На месте установки,09.03.2024 -  Установлен на месте эксплуатации,Соколов А.В.,,,,
329,№ 09608363,КАИТ-УКПГ-2-101-4,101,101-GA17,Газоанализатор,Установка охлаждения газа (поз. по ГП101) Газоанализатор стационарный ИГМ-13М (ТЭГ: 101-GA17),10/18/2023,"ООО ""ЭМИ-Прибор""",0092.020.014.Р5.0004.149.0002.1003.000-СПБА,3/11/2024,УКПГ-2. ЦДКС. Установка охлаждения газа (поз. по ГП101),Неисправен. При калибровке нуля показания не изменяются,Дефектное оборудование,Произвести замену/ремонт дефектного оборудования,2600,Шулаков А.Ю.,Попов В.А.,Ямилов Р.Р.,Никонов Ю.А.,,,,Мастерская,"09.03.2024 - Демонтирован для диагностики в мастерской;
10.03.2024 - Монтаж на позицию;
15.04.2024 - На позиции (заливает водой)",Пахомов М.О.,,,,
325,№ 078647,КАИТ-УКПГ-2-1-7,1,,Оповещатель,"Оповещатель пожарный световой взрывозащищенный ЭКРАН-С-ККВ-к1, надпись: ""Подключение пожарной техники""",8/7/2022,"АО ""ЭРИДАН""",0092.020.014.Р5.0004.149.0002.0077.001-СПБА.СО1(изм. 0),3/8/2024,УКПГ-2. Здание входных ниток и пробкоуловителей (поз. по ГП1) , Механическое повреждение,Дефектное оборудование,Произвести замену дефектного оборудования,12600,Шулаков А.Ю.,Фомичев Д.М.,Старинец И.А.,Кутузов А.Н.,,,,Мастерская,08.03.2024 - Снят в ремонт,Соколов А.В.,,,,
50,№ 001130,КАИТ-УКПГ-2-20-1,20,РТ604/3,Датчик ПД,"СДВ-Smart-Ех-ИВ-1320-01-8-ЭП1-t10-025+-3,15кПа-42+НАРТ-К04-П-КБуст. Зав.№ 001130",-,"АО ""НПК ВИП""",0092.020.014.Р5.0004.149.0002.0709.020-ТХ,8/19/2023,"УКПГ-2. Резервуарный парк метанола (поз. по ГП 20), 60Р-1№2 РТ604/3","Нестабильная работа, показания датчика уходят за верхний диапазон измерения.",Выход из строя чувствительного элемента,Произвести замену/ремонт дефектного оборудования,4800 ч,Ермаков А.Б.,Бояркин И.С.,Усов А.С.,Никонов Ю.А.,8/24/2023,"2023-11-29 исх. 08/9616 
(П-80/200/3/10689)",11/29/2023,Склад КИПиА,06.04.2024 - На складе,,,,,
97,№ 014022,КАИТ-УКПГ-2-22-5,22,60Н_4_2/PD,Датчик ПД,"Датчик перепада давления СДВ-Smart-Exd-ДД-1440-01-ЭП1-t16-025-40,0кПа-25-42+HART-К04-П",-,"АО НПК ""ВИТ""",0092.020.014.Р5.0004.149.0002.0506.022-ТХ2,12/25/2023,"УКПГ-2. Здание насосной конденсата и метанола (поз. по ГП 22), помещение насосной метанола. Агрегат электронасосный (60Н-4 №2)",Нестабильные показания,Прибор неисправен,Требуется замена дефектного оборудования,5000 ч,Алимбеков Ф.А.,Апенько Н.С.,Турлаков Н.В.,Никонов Ю.А.,1/31/2024,2024-02-08 исх.08-1131,2/8/2024,Мастерская,15.04.2024 - В мастерской,Грибачев А.В.,,,,
92,№ 04221252,КАИТ-УКПГ-2-31-3,31,КлРЭ 2-02.1,Электропривод,Блок управления ESC-VSX-24-380N-1500-b №04221252 производство АО «ЭлеСи» ,-,ООО «КХМ»,0092.020.014.Р5.0004.149.0002.0059.031-ТХ.СО1(изм. 2),1/18/2024,"УКПГ-2, Разделители, буферные емкости (поз. по ГП 31). Разделитель-коалесцер 30Р-2№1, поз. обозначение КлРЭ 2-02.1",При подаче напряжения блок управления постоянно перезагружается,Выход из строя электронной платы,Произвести замену или ремонт дефектного оборудования,1950 ч,Алимбеков Ф.А.,Бояркин И.С.,Турлаков Н.В.,Никонов Ю.А.,1/18/2024,2024-01-29 исх. 08/746,1/29/2024,В ремонте,"03.04.2024 - Находится в контейнере (без редуктора);
06.04.2023 - Передано в СТНГ",,,,,
71,№ НР20066-1-6,КАИТ-УКПГ-2-31-5,31,LG 11.1.2,Указатель уровня,"Байпасный указатель уровня РИЗУР-НБК-ГЛАСС-П1-1-О-ББ-Ф-500-3-К3/G 1/2 ""-КВ/G 1/2 ""-0-0-700…1000/10,00/60. Зав.№ НР20066-1-6",-,ООО «НПО РИЗУР»,0092.020.014.Р5.0004.149.0002.0059.031-ТХ.СО1,11/6/2023,"УКПГ-2, Позиция 31, Емкость буферная 30Е-1 №2, LG 11.1.2","При достижении максимального уровня, не срабатывает геркон","Некачественный монтаж, отсутствие герметичности",Замена дефектного оборудования,2250 ч,Алимбеков Ф.А.,Крашенинников Д.Н.,Турлаков Н.В.,Никонов Ю.А.,11/21/2023, 12.12.2023 исх.08-82-10048,12/12/2023,,,,,,,
320,№ 160145,КАИТ-УКПГ-2-31-6,31,FIT 2.17.2,Расходомер,Расходомер термоанемометрический Turbo Flow TFG-H,11/1/2022,                                                                                                                                                                                                                                                                                                                                                                                ,0092.020.014.Р5.0004.149.0002.0059.031-ТХ.СО1(изм. 2),3/1/2024,"УКПГ-2, Разделители, буферные емкости (поз. по ГП 31), разделитель 30Р-1№2, Поз. обозначение FIT 2.17.2",Некорректные показания расхода. Неисправность по внутреннему питанию,Неисправность чувствительного элемента.,Произвести замену/ремонт дефектного оборудования,11200,Шулаков А.Ю.,Фомичев Д.М.,Старинец И.А.,Кутузов А.Н.,,,,Мастерская,"01.03.2024 - Демонтирован, в слесарной мастерской (Некорректные показания расхода. Код неисправности 8209001Е.)",Рыбаков Н.А.,,,,
323,№12250012,КАИТ-УКПГ-2-31-7,31,КлРЭ 2.3.1,Электропривод,Электропривод ПЭП-М6000-60-60-Е2А01-2-IIВТ4-15 УХЛ1 №1225001 с блоком управления КИМ-2-380/4-А01-1-2-IIВТ4 УХЛ1 v2.1 №62240240,11/3/2022,-,0092.020.014.Р5.0004.149.0002.0059.031-ТХ.СО1(изм. 2) 0092.020.014.Р5.0004.149.0002.0059.031-ТХ (изм. 3) ,2/5/2024,"УКПГ-2. Разделители, буферные емкости (поз. по ГП31) Разделитель - коалесцер 30Р-2№1","Электропривод ПЭП-М6000-60-60-Е2А01-2-IIВТ4-15 УХЛ1 не управляется, Неисправность электродвигателя ","Неисправность электродвигателя ДАТ 75-25-1,5-У3 обрыв обмоток",Произвести замену дефектного оборудования,10800,Шулаков А.Ю.,Фомичев Д.М.,Старинец И.А.,Кутузов А.Н.,,2024-03-14 исх. 08-2467,3/14/2024,Мастерская,06.02.2024 - Снят в ремонт,Зыков Р.В.,,,,
324,№ КИ1383-7-6,КАИТ-УКПГ-2-32-16,32,LSA 23.2,Сигнализатор уровня,"Сигнализатор уровня ультразвуковой РИЗУР 901-0-0-1-150-5-250-10-100-И-М-0-0-5462 580, Зав.№ КИ1383-7-6",11/30/2022,"НПО ""РИЗУР""",0092.020.014.Р5.0004.149.0002.0016.032-ТХ.СО1,3/6/2024,"УКПГ-2. Здание установки стабилизации конденсата (поз. по ГП32), группа насосов 30Н3-1-№2","Отображение КЗ на верхем уровне, сработка сигнализатора. При сработке сигнализатора ток по выходу  больше 20,5 мА",-,Произвести замену/ремонт дефектного оборудования,10400,Шулаков А.Ю.,Фомичев Д.М.,Старинец И.А.,Кутузов А.Н.,,,,,,,,,,
326,№ 51277,КАИТ-УКПГ-2-32-17,32,BTF 43/4,Извещатель пламени,"Извещатель пламени пожарный ИПЭС-ИК/УФ, ИП 329/330-1-1",11/30/2022,"АО ""Электростандарт-прибор""",0092.020.014.Р5.0004.149.0002.0016.032-ПС.СО1(изм. 1),3/7/2024,УКПГ-2. Здание установки стабилизации конденсата (поз. по ГП32) второй этаж,Неисправен. На верхнем уровне сигнал неисправность,Дефектное оборудование,Произвести замену дефектного оборудования,10300,Шулаков А.Ю.,Фомичев Д.М.,Старинец И.А.,Кутузов А.Н.,,,,Мастерская,"07.03.2024 - Вместо него установлен новый со склада ИПЭС-ИК/УФ, ИП З29/330. № 61996 (2023г.)
08.03.2024 - Снят в ремонт",Соколов А.В.,,,,
93,№ 0200088090030001,КАИТ-УКПГ-2-32-4,32,LS 17.1.3,Указатель уровня,Указатель уровня KROHNE MS15/EXI/LC/NN/HT,-,"KROHNE, Франция",0092.020.014.Р5.0004.149.0002.0016.032-ТХ.СО1,1/17/2024,"УКПГ-2, Позиция 32, Колонна стабилизации конденсата №3, LS 17.1.3","При достижении максимального уровня, не срабатывает геркон",Заводской дефект,Замена дефектного оборудования,2250 ч,Алимбеков Ф.А.,Бояркин И.С.,Турлаков Н.В.,Никонов Ю.А.,1/21/2024,2024-01-29 исх. 08/746,1/29/2024,,ТЭГ уточнить,,,,,
94,№ 0200088090050003,КАИТ-УКПГ-2-32-5,32,LS 17.2.3,Указатель уровня,Указатель уровня KROHNE MS15/EXI/LC/NN/HT,-,"KROHNE, Франция",0092.020.014.Р5.0004.149.0002.0016.032-ТХ.СО1,1/17/2024,"УКПГ-2, Позиция 32, Колонна стабилизации конденсата №3, LS 17.2.3","При достижении максимального уровня, не срабатывает геркон",Заводской дефект,Замена дефектного оборудования,2251 ч,Алимбеков Ф.А.,Бояркин И.С.,Турлаков Н.В.,Никонов Ю.А.,1/21/2024,2024-01-29 исх. 08/746,1/29/2024,,ТЭГ уточнить,,,,,
95,№ R220000000007911,КАИТ-УКПГ-2-32-6,32,LT 3-14.2,Уровнемер,Уровнемер KROHNE OPTIFLEX 1300C 1EXiaIIC T6...T3 G-bx,-,"KROHNE, Франция",0092.020.014.Р5.0004.149.0002.0016.032-ТХ.СО1,1/10/2024,"УКПГ-2, Позиция 32, 30Р-3 №3, LT 3-14.2 ","При отсутствии уровня раздела сред, уровнемер показывает максимальное значение",Заводской дефект,"Замена, ремонт дефектного оборудования",2250 ч,Алимбеков Ф.А.,Бояркин И.С.,Турлаков Н.В.,Никонов Ю.А.,1/21/2024,2024-01-29 исх. 08/746,1/29/2024,Склад КИПиА,06.04.2024 - На складе,Ященко Н.В.,,,,
318,б/н,КАИТ-УКПГ-2-52-1,52,,Клапан электромагнитный,"УКПГ-2 Установка комплексной подготовки газа. Котельная блочно модульная поз.52. Клапан электромагнитный на подпитке сетевого контура СК-11-40, 0...1 МПа, АС 220",8/21/2022,"ЗАО ""РОСМА""",0092.020.014.Р5.0004.149.0002.1401.52-ТМ.Н,3/4/2024,УКПГ-2 Установка комплексной подготовки газа. Котельная блочно модульная поз.52,Замыкание катушки соленоида. При подаче сигнала не открывается,Неисправность соленоида,Произвести замену/ремонт дефектного оборудования,11100,Шулаков А.Ю.,Фомичев Д.М.,Старинец И.А.,Кутузов А.Н.,,,,На месте установки,04.03.2024 -  Установлен на месте эксплуатации,Чугунов Д.К.,,,,
73,№ 221,КАИТ-УКПГ-2-54-1,54,ТЕ75,Датчик температуры,Датчик температуры ТСПУ 031 C/XT-PR/ОП/С. Зав.№ 221(ТЕ75),12/28/2022,СКБ «Термоприбор»,0092.020.014.P5.0004.149.0002.2223.054-ВК.ОЛ (согласно п 11.1 опросного листа),9/11/2023,УКПГ-2. Емкость питьевой воды V-50м3 (поз.54),"Заводской брак ТСПУ 031 C/XT-PR/ОП/С.
Модуль программируемого датчика температуры 5337D OEM при подключении к первичному преобразователю не выдает аналоговый сигнал
","Заводской брак ТСПУ 031 C/XT-PR/ОП/С.
Модуль программируемого датчика температуры 5337D OEM при подключении к первичному преобразователю не выдает аналоговый сигнал
",Произвести замену дефектного оборудования,3000 ч,Бондаренко Д.Г.,Апенько Н.С.,Старинец И.А.,Савело С.С.,9/11/2023, 12.12.2023 исх.08-82-10048,12/12/2023,На месте установки,"06.04.2024 - Исправен, находится на месте установки",Ященко Н.В.,,4/6/2024,Апенько Н.С.,Устранено
327,№ 082182,КАИТ-УКПГ-2-60б-1,60б,BIAL1.3.18,Оповещатель,"Оповещатель охранно-пожарный, табло ""Газ уходи"" СКОПА-R, BIAL1.3.18",8/1/2022,"АО ""ГК РУБЕЖ""",0092.020.014.Р5.0004.149.0002.3718.060-ТХ Лист2 (изм. 1),2/27/2024,УКПГ-2. Насосная дизтоплива (поз. по ГП60б) БНС-1-2Н-80,Неисправен. Не управляется с верхнего уровня,Дефектное оборудование,Произвести замену дефектного оборудования,11300,Шулаков А.Ю.,Фомичев Д.М.,Старинец И.А.,Кутузов А.Н.,,,,На месте установки,"27.02.2024 - установлена на поз 60Б;
03.03.2024 - Вместо табло (газ уходи) установлен комбинированный оповещатель  ЗОВ-R (069023 дата 3 кв.2020г.);
09.03.2024 -  Установлен на месте эксплуатации",Соколов А.В.,,,,
60,№ 2К020947,КАИТ-УОК-3-2.2-1,УОК-3-2.2,,Преобразователь давления,"Преобразователь давления корабельный ПДК-ВО-И-ЮМО-А-2-М20-Н-01-Д20 № 2К020947 комплектно с вентильным блоком № 2БВ04532. Зав. №2К020947, №2БВ04532",-,ООО «Валком»,0092.001.002.Р6.0004.139.0027.0000.000-АТТ.СО1(изм. 1),10/30/2023,Давление конденсата и ВМР после крана №3-2-4 ,Датчик давления при наличии напряжения 24В не выдает токовый сигнал. На вентильном блоке замято резьбовое соединение,"Нарушение условий хранения, монтажа и подключения датчика давления и вентильного блока",Требуется замена дефектного оборудования,0 ч,Алимбеков Ф.А.,Саликов А.А.,Старинец И.А.,Кутузов А.Н.,11/17/2023,"2023-11-29 исх. 02/9557 
(П-80/200/3/10568)",11/29/2023,,,,,,,
80,№ 64984,КАИТ-ЦДКС-100-1,100,XY702/Y,Вторичный преобразователь токовихревой,Вторичный преобразователь токовихревой ИТ14.12.500-1-3-0 №64984,-,ООО «НПП Измерительные технологии»,0092.020.014.Р5.0004.149.0002.1029.100-ТХГП.СО1,12/26/2023,"УКПГ-2, ЦДКС, позиция 100, ГПА 23",Отсутствуют показания вибрации при работе компрессора,Заводской брак,Замена дефектного оборудования,75 ч,Шулаков А.Ю.,Крашенинников Д.Н.,Ромасенко Е.С.,Кутузов А.Н.,12/26/2023,16.01.2024 исх.08/155,1/16/2024,ГП301_218,15.02.2024 - Находится в пом.218,,,,,
119,"№ ГТ36А-010
(№ 261645)",КАИТ-ЦДКС-100-9,100,WG-1,Газовый мультиблок ,"Агрегат газоперекачивающий ГПА-16А-НК/ГТ.СМ, АВГМ23, (WG-1 Газовый мультиблок DUNGS, клапан MBC-300-SE-S22, производства DUNGS Germany, № 261645)",10/18/2023,"ООО НПФ ""ТеплоЭнергоПром""",0092.020.014.Р5.0004.149.0002.1029.100-ТХГП.СО1,2/15/2024,"ЦДКС. Позиция 100. Агрегат газоперекачивающий ГПА-23 , АВГМ-23, Газовый мультиблок WG-1",Неисправность клапана MBC-300-SE-S22 № 261645,Заводской брак,Замена дефектного оборудования,365 ч,Алимбеков Ф.А.,Апенько Н.С.,Рубцов М.А.,Кутузов А.Н.,2/18/2024,,,ГП301_218,"15.02.2024 - Установлен с поз.100 ГПА-24;
18.02.2024 - Вернули мультиблок № 1PDK261645S00003278 на ГПА-24;
18.02.2024 - Установили мультиблок № 1PDK261645S00003276 из комплекта ЗИП.",Рыбаков Н.А.,Чугунов Д.К.,,,
108,№ 191411,КАИТ-ЦДКС-102-5,102,СГ6.3,Расходомер,"УКПГ-2, ЦДКС, Установка подготовки газа на собственные нужды (поз. по ГП 102) (Расходомер-счетчик газа ультразвуковой Turbo Flow UFG-F. Зав.№191411)",-,"АО «ГМС Нефтемаш»ООО (НПО""Турбулентность Дон"")",0092.020.014.Р5.0004.149.0002.1035.102-ТХГП.СО1 п.2,1/26/2024,"УКПГ-2, ЦДКС, Установка подготовки газа на собственные нужды (поз. по ГП 102). Узел учета газа СГ6.3 (для АВГМ)",Расходомер-счетчик газа ультразвуковой Turbo Flow UFG-F. Неисправность ультразвукового датчика,Заводской брак,"Направить для дальнейшей диагностики и ремонта на завод-изготовитель НПО ""Турбулентность-ДОН""",75 ч,Алимбеков Ф.А.,Апенько Н.С.,Рубцов М.А.,Никонов Ю.А.,1/31/2024,2024-02-08 исх.08-1131,2/8/2024,На месте установки,26.01.2024 - Акт выполненных работ по ГП 102 (Лупандин Д.А.),,,,,
